Column1	Column2	Column3	Column5
chrX	1	2215150001	4.76E-09
chrX	50001	2215200001	4.76E-09
chrX	100001	2215250001	4.76E-09
chrX	150001	2215300001	4.76E-09
chrX	200001	2215350001	4.76E-09
chrX	250001	2215400001	4.76E-09
chrX	300001	2215450001	4.76E-09
chrX	350001	2215500001	4.76E-09
chrX	400001	2215550001	4.76E-09
chrX	450001	2215600001	4.76E-09
chrX	500001	2215650001	4.76E-09
chrX	550001	2215700001	4.76E-09
chrX	600001	2215750001	4.76E-09
chrX	650001	2215800001	4.76E-09
chrX	700001	2215850001	4.76E-09
chrX	750001	2215900001	4.76E-09
chrX	800001	2215950001	4.76E-09
chrX	850001	2216000001	4.76E-09
chrX	900001	2216050001	4.76E-09
chrX	950001	2216100001	4.76E-09
chrX	1000001	2216150001	4.76E-09
chrX	1050001	2216200001	4.76E-09
chrX	1100001	2216250001	4.76E-09
chrX	1150001	2216300001	4.76E-09
chrX	1200001	2216350001	4.76E-09
chrX	1250001	2216400001	4.76E-09
chrX	1300001	2216450001	4.76E-09
chrX	1350001	2216500001	4.76E-09
chrX	1400001	2216550001	4.76E-09
chrX	1450001	2216600001	4.76E-09
chrX	1500001	2216650001	4.76E-09
chrX	1550001	2216700001	4.76E-09
chrX	1600001	2216750001	4.76E-09
chrX	1650001	2216800001	4.76E-09
chrX	1700001	2216850001	4.76E-09
chrX	1750001	2216900001	4.76E-09
chrX	1800001	2216950001	4.76E-09
chrX	1850001	2217000001	4.76E-09
chrX	1900001	2217050001	4.76E-09
chrX	1950001	2217100001	4.76E-09
chrX	2000001	2217150001	4.22E-09
chrX	2050001	2217200001	4.22E-09
chrX	2100001	2217250001	4.22E-09
chrX	2150001	2217300001	4.22E-09
chrX	2200001	2217350001	4.22E-09
chrX	2250001	2217400001	4.22E-09
chrX	2300001	2217450001	4.22E-09
chrX	2350001	2217500001	4.22E-09
chrX	2400001	2217550001	4.22E-09
chrX	2450001	2217600001	4.22E-09
chrX	2500001	2217650001	4.22E-09
chrX	2550001	2217700001	4.22E-09
chrX	2600001	2217750001	4.22E-09
chrX	2650001	2217800001	4.22E-09
chrX	2700001	2217850001	4.22E-09
chrX	2750001	2217900001	4.22E-09
chrX	2800001	2217950001	4.22E-09
